category,folder_name,movie_name,year,relative_path,parse_status,note
原盘压缩（外语）,美国队长3.英雄内战.2016.2160p.BluRay.x265.10bit.SDR.DTS-HD.MA.TrueHD.7.1.Atmos-SWTYBLZ,美国队长3 英雄内战,2016,原盘压缩（外语）/美国队长3.英雄内战.2016.2160p.BluRay.x265.10bit.SDR.DTS-HD.MA.TrueHD.7.1.Atmos-SWTYBLZ,OK,
原盘压缩（外语）,美国队长4.2025.UHD.BluRay.2160p.DV.HDR.x265.10bit.Atmos.TrueHD.7.1-Chei@UBits,美国队长4,2025,原盘压缩（外语）/美国队长4.2025.UHD.BluRay.2160p.DV.HDR.x265.10bit.Atmos.TrueHD.7.1-Chei@UBits,OK,
原盘压缩（外语）,羞耻.2011.Bluray.1080p.DTS-HD.x264-Grym,羞耻,2011,原盘压缩（外语）/羞耻.2011.Bluray.1080p.DTS-HD.x264-Grym,OK,
原盘压缩（外语）,老无所依.2007.BluRay.1080p.LPCM.5.1.x265.10bit-DreamHD,老无所依,2007,原盘压缩（外语）/老无所依.2007.BluRay.1080p.LPCM.5.1.x265.10bit-DreamHD,OK,
原盘压缩（外语）,肖申克的救赎.1994.UHD.BluRay.2160p.10bit.HDR.4Audio.DTS-HD.MA.5.1.x265-beAst,肖申克的救赎,1994,原盘压缩（外语）/肖申克的救赎.1994.UHD.BluRay.2160p.10bit.HDR.4Audio.DTS-HD.MA.5.1.x265-beAst,OK,
原盘压缩（外语）,致命ID.2003.Bluray.1080p.x265.10bit.2Audio.MNHD-FRDS,致命ID,2003,原盘压缩（外语）/致命ID.2003.Bluray.1080p.x265.10bit.2Audio.MNHD-FRDS,OK,
原盘压缩（外语）,致命魔术.2006.Bluray.1080p.x265.AAC(5.1).2Audios.GREENOTEA,致命魔术,2006,原盘压缩（外语）/致命魔术.2006.Bluray.1080p.x265.AAC(5.1).2Audios.GREENOTEA,OK,
原盘压缩（外语）,芬奇.2021.2160p.ATVP.WEB-DL.DDP5.1.Atmos.HDR.HEVC-TEPES,芬奇,2021,原盘压缩（外语）/芬奇.2021.2160p.ATVP.WEB-DL.DDP5.1.Atmos.HDR.HEVC-TEPES,OK,
原盘压缩（外语）,花束般的恋爱.2021.BluRay.1080p.x265.10bit.DDP5.1.MNHD-FRDS,花束般的恋爱,2021,原盘压缩（外语）/花束般的恋爱.2021.BluRay.1080p.x265.10bit.DDP5.1.MNHD-FRDS,OK,
原盘压缩（外语）,英伦对决.2017.BluRay.1080p.x265.10bit.MNHD-FRDS,英伦对决,2017,原盘压缩（外语）/英伦对决.2017.BluRay.1080p.x265.10bit.MNHD-FRDS,OK,
原盘压缩（外语）,荒野猎人.2015.1080p.BluRay.x264-SPARKS.mkv,荒野猎人,2015,原盘压缩（外语）/荒野猎人.2015.1080p.BluRay.x264-SPARKS.mkv,OK,
